2025-10-25 11:29:17,275 - WARNING - PHASE 1 IGNORED QR - ID: QR-1, Data: right
2025-10-25 11:29:17,275 - WARNING - PHASE 1 IGNORED QR - ID: QR-2, Data: left
2025-10-25 11:29:17,418 - WARNING - PHASE 1 IGNORED QR - ID: QR-1, Data: right
2025-10-25 11:29:17,418 - WARNING - PHASE 1 IGNORED QR - ID: QR-2, Data: left
2025-10-25 11:29:17,518 - WARNING - PHASE 1 IGNORED QR - ID: QR-1, Data: right
2025-10-25 11:29:17,519 - WARNING - PHASE 1 IGNORED QR - ID: QR-2, Data: left
2025-10-25 11:29:17,621 - WARNING - PHASE 1 IGNORED QR - ID: QR-1, Data: right
2025-10-25 11:29:17,622 - WARNING - PHASE 1 IGNORED QR - ID: QR-2, Data: left
2025-10-25 11:29:17,735 - WARNING - PHASE 1 IGNORED QR - ID: QR-1, Data: right
2025-10-25 11:29:17,735 - WARNING - PHASE 1 IGNORED QR - ID: QR-2, Data: left
2025-10-25 11:29:17,848 - WARNING - PHASE 1 IGNORED QR - ID: QR-1, Data: right
2025-10-25 11:29:17,848 - WARNING - PHASE 1 IGNORED QR - ID: QR-2, Data: left
2025-10-25 11:29:17,994 - WARNING - PHASE 1 IGNORED QR - ID: QR-1, Data: right
2025-10-25 11:29:17,995 - WARNING - PHASE 1 IGNORED QR - ID: QR-2, Data: left
2025-10-25 11:29:18,118 - WARNING - PHASE 1 IGNORED QR - ID: QR-1, Data: right
2025-10-25 11:29:18,119 - WARNING - PHASE 1 IGNORED QR - ID: QR-2, Data: left
2025-10-25 11:29:18,248 - WARNING - PHASE 1 IGNORED QR - ID: QR-1, Data: right
2025-10-25 11:29:18,248 - WARNING - PHASE 1 IGNORED QR - ID: QR-2, Data: left
2025-10-25 11:29:18,379 - WARNING - PHASE 1 IGNORED QR - ID: QR-1, Data: right
2025-10-25 11:29:18,380 - WARNING - PHASE 1 IGNORED QR - ID: QR-2, Data: left
2025-10-25 11:29:18,519 - WARNING - PHASE 1 IGNORED QR - ID: QR-1, Data: right
2025-10-25 11:29:18,519 - WARNING - PHASE 1 IGNORED QR - ID: QR-2, Data: left
2025-10-25 11:29:18,648 - WARNING - PHASE 1 IGNORED QR - ID: QR-1, Data: right
2025-10-25 11:29:18,648 - WARNING - PHASE 1 IGNORED QR - ID: QR-2, Data: left
2025-10-25 11:29:18,781 - WARNING - PHASE 1 IGNORED QR - ID: QR-2, Data: left
2025-10-25 11:29:21,041 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:21,310 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:21,312 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:21,631 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:21,632 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:21,632 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:21,816 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:21,817 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:21,817 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:22,051 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:22,052 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:22,053 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:22,339 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:22,340 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:22,340 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:22,341 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:22,459 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:22,460 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:22,461 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:22,462 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:22,677 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:22,677 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:22,678 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:22,678 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
2025-10-25 11:29:22,862 - WARNING - PHASE 1 IGNORED QR - ID: QR-3, Data: right
2025-10-25 11:29:22,862 - WARNING - PHASE 1 IGNORED QR - ID: QR-4, Data: right
2025-10-25 11:29:22,862 - WARNING - PHASE 1 IGNORED QR - ID: QR-5, Data: right
2025-10-25 11:29:22,862 - WARNING - PHASE 1 IGNORED QR - ID: QR-6, Data: left
